soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
53-6051,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.7,2.5,85750.0,25.700000000000003,26.1
53-6061,High school diploma or equivalent,No experience required,Short-term on-the-job training,4.7,4.1,37560.0,25.6,26.8
53-6099,High school diploma or equivalent,No experience required,Short-term on-the-job training,3.8,1.2,39630.0,11.5,11.9
53-7000,,,,3.4,,,7894.6,8163.5
53-7011,No formal educational credential,No experience required,Short-term on-the-job training,-3.4,2.6,41230.0,29.1,28.1
53-7021,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,3.0,3.8,66370.0,42.2,43.5
53-7031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.2,0.1,48430.0,1.2,1.2
53-7041,No formal educational credential,No experience required,Short-term on-the-job training,-1.1,0.3,52310.0,2.7,2.7
53-7051,No formal educational credential,No experience required,Short-term on-the-job training,1.1,76.4,46390.0,792.5,801.6
53-7060,,,,3.8,,,6802.099999999999,7059.2
53-7061,No formal educational credential,No experience required,Short-term on-the-job training,3.9,56.2,35270.0,410.2,426.2
53-7062,No formal educational credential,No experience required,Short-term on-the-job training,1.5,384.3,38940.0,2988.7999999999997,3033.1
53-7063,No formal educational credential,No experience required,Short-term on-the-job training,-13.0,4.7,39700.0,46.4,40.4
53-7064,No formal educational credential,No experience required,Short-term on-the-job training,-5.4,74.0,35580.0,591.9000000000001,559.7
53-7065,No formal educational credential,No experience required,Short-term on-the-job training,8.5,472.3,37090.0,2764.8,2999.8
53-7070,,,,-1.7,,,37.300000000000004,36.7
53-7071,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.3,0.6,71510.0,5.3999999999999995,5.3
53-7072,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.6,1.5,60020.0,13.2,13.5
53-7073,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,-4.7,2.0,70010.0,18.799999999999997,17.9
53-7081,No formal educational credential,No experience required,Short-term on-the-job training,0.9,16.9,48350.0,147.89999999999998,149.2
53-7121,No formal educational credential,No experience required,Short-term on-the-job training,4.3,1.3,58070.0,12.0,12.5
53-7199,No formal educational credential,No experience required,Short-term on-the-job training,4.3,3.1,41690.0,27.7,28.9
