soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
49-9021,Postsecondary nondegree award,No experience required,Long-term on-the-job training,8.1,40.1,59810.0,425.2,459.7
49-9031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.6,3.1,49410.0,37.3,38.3
49-9040,,,,12.8,,,539.4,608.4
49-9041,High school diploma or equivalent,No experience required,Long-term on-the-job training,16.1,45.7,63760.0,439.6,510.3
49-9043,High school diploma or equivalent,No experience required,Long-term on-the-job training,-2.8,4.8,60500.0,57.5,55.9
49-9044,High school diploma or equivalent,No experience required,Apprenticeship,0.0,3.6,65170.0,41.3,41.3
49-9045,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-16.9,0.1,58540.0,1.1,0.9
49-9050,,,,2.4,,,227.2,232.6
49-9051,High school diploma or equivalent,No experience required,Long-term on-the-job training,6.6,10.7,92560.0,127.4,135.8
49-9052,High school diploma or equivalent,No experience required,Long-term on-the-job training,-3.1,8.9,70500.0,99.89999999999999,96.8
49-9060,,,,9.8,,,88.8,97.5
49-9061,High school diploma or equivalent,No experience required,Long-term on-the-job training,-15.1,0.2,49300.0,2.1999999999999997,1.9
49-9062,Associate's degree,No experience required,Moderate-term on-the-job training,12.9,7.3,62630.0,68.0,76.8
49-9063,High school diploma or equivalent,No experience required,Apprenticeship,1.4,0.6,45320.0,6.2,6.3
49-9064,High school diploma or equivalent,No experience required,Long-term on-the-job training,-1.1,0.1,60690.0,1.4,1.4
49-9069,High school diploma or equivalent,No experience required,Long-term on-the-job training,2.0,1.0,67080.0,10.8,11.0
49-9071,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.8,159.8,48620.0,1629.6999999999998,1692.1
49-9081,Postsecondary nondegree award,No experience required,Long-term on-the-job training,49.9,2.3,62580.0,13.7,20.5
49-9090,,,,1.6,,,411.79999999999995,418.4
49-9091,High school diploma or equivalent,No experience required,Short-term on-the-job training,-2.9,3.5,47350.0,32.5,31.6
49-9092,Postsecondary nondegree award,No experience required,Moderate-term on-the-job training,8.5,0.4,61130.0,4.1,4.5
49-9094,High school diploma or equivalent,No experience required,Long-term on-the-job training,-8.3,1.7,50490.0,18.8,17.2
49-9095,High school diploma or equivalent,No experience required,Short-term on-the-job training,5.9,0.3,41080.0,3.0999999999999996,3.3
49-9096,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.2,2.5,62060.0,24.599999999999998,25.4
49-9097,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.7,0.8,83600.0,8.700000000000001,8.8
49-9098,High school diploma or equivalent,No experience required,Short-term on-the-job training,2.3,11.8,38860.0,98.8,101.0
49-9099,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.4,21.5,48640.0,221.1,226.5
51-1000,,,,1.2,,,698.6,706.9
51-1011,High school diploma or equivalent,Less than 5 years,No on-the-job training,1.2,67.7,71190.0,698.6,706.9
51-2000,,,,-0.6,,,1885.4,1874.2
